"","Ludn_2019","Ludn_2020","Ludn_2021","Ludn_2022","Ludn_2023","WB1_2019","WB1_2020","WB1_2021","WB1_2022","WB1_2023","WB2_2019","WB2_2020","WB2_2021","WB2_2022","WB2_2023","WB3_2019","WB3_2020","WB3_2021","WB3_2022","WB3_2023","WB4_2019","WB4_2020","WB4_2021","WB4_2022","WB4_2023","WB5_2019","WB5_2020","WB5_2021","WB5_2022","WB5_2023","WB6_2019","WB6_2020","WB6_2021","WB6_2022","WB6_2023","WB7_2019","WB7_2020","WB7_2021","WB7_2022","WB7_2023","WB8_2019","WB8_2020","WB8_2021","WB8_2022","WB8_2023","WB9_2019","WB9_2020","WB9_2021","WB9_2022","WB9_2023","WB10_2019","WB10_2020","WB10_2021","WB10_2022","WB10_2023","WB11_2019","WB11_2020","WB11_2021","WB11_2022","WB11_2023","WB12_2019","WB12_2020","WB12_2021","WB12_2022","WB12_2023","WL1_2019","WL1_2020","WL1_2021","WL1_2022","WL1_2023","WL2_2019","WL2_2020","WL2_2021","WL2_2022","WL2_2023","WL3_2019","WL3_2020","WL3_2021","WL3_2022","WL3_2023","WL4_2019","WL4_2020","WL4_2021","WL4_2022","WL4_2023","WL5_2019","WL5_2020","WL5_2021","WL5_2022","WL5_2023","WZ1_2019","WZ1_2020","WZ1_2021","WZ1_2022","WZ1_2023","WZ2_2019","WZ2_2020","WZ2_2021","WZ2_2022","WZ2_2023","WZ3_2019","WZ3_2020","WZ3_2021","WZ3_2022","WZ3_2023","WZ4_2019","WZ4_2020","WZ4_2021","WZ4_2022","WZ4_2023","WZ5_2019","WZ5_2020","WZ5_2021","WZ5_2022","WZ5_2023","WZ6_2019"
"1",79200,78778,77807,76184,75429,93.18,89.05,91.85,96.77,92.74,50.59,53.7,54.71,52.23,54.76,1.97,1,5.53,2.75,-4.21,13.05,10.42,7.03,10.03,15.99,39.93,39.94,40.25,39.89,42.15,4.34,2.67,9.62,3.96,-3.01,63.18,115.53,201.77,56.19,18.21,16.4,10.27,18.65,10.31,14.22,164.47,162.63,257.21,174.09,68.23,179.4,200.16,311.1,201.9,66.34,55.74,49.96,32.14,49.53,150.73,6.24,3.52,10.43,5.32,-5.2,2824.35,3296.36,3873.2,3901.6,4233.99,110.12,61.69,391.65,205.67,-325.62,2732.1,2355.77,2554.47,2295.26,3946.54,1663.22,1838.31,1746.04,1938.25,1107.9,1473.14,1414.79,1572.74,1634.36,1017.06,45.6,34.17,33.14,29.73,47.34,24.81,38.19,6.52,11.16,-12.12,4.25,6.89,2.65,6.01,4.25,2.36,2.19,1.21,6.96,6.68,6.15,10.87,4,8.49,5.73,33.89
"2",99486,99072,97958,93473,92568,91.52,90.88,90.29,94.15,85.41,50.36,52.68,51.58,50.09,50.79,4.18,4.04,8.39,3.51,3,11.88,12.17,9.26,16.22,18.25,40.38,40.45,41.25,39.39,45.04,9.29,10.94,16.46,5.58,10.68,104.17,105.81,204.7,52.09,92.75,7.34,10.28,20.49,10.15,5.57,113.36,135.7,249.9,151.31,126.96,116.26,142.88,288.43,157.7,130.12,86.01,69.99,34.67,63.41,76.85,13.28,16.7,24.37,7.81,15.23,2908.22,3223.03,3527.87,3694.25,3837.4,241.42,247.04,573.61,259.08,226.31,2806.07,2888.94,2991.48,2848.2,2598.6,1028.78,1325.66,2009.04,2344.26,2320.27,866.95,1162.23,1844.68,2172.55,2128.91,44.47,42.91,39.49,36.36,29.37,11.62,11.69,5.22,10.99,11.48,3.49,3.01,2.57,4.15,4.1,2.09,1.36,1.02,5.39,6.6,5.16,4.6,3.82,5.94,5.81,36.16
"3",641607,643782,641201,673923,674132,94,92.89,90.98,89.82,91.15,31.2,36.29,35.42,32.21,30.26,8.27,2.77,11.45,3.48,0.43,14.69,13.95,16.98,18.67,17.03,33.62,33.39,33.36,34.1,35.74,10.58,4.96,16.03,9.08,5.91,92.82,66.12,117.96,66.87,49.61,1.58,2.35,8.44,2.76,2.9,76.97,59.05,104.15,84.7,53.82,70.14,47.05,105.17,80.21,45.18,142.56,212.53,95.08,124.68,221.36,13.35,6.49,21.45,12.1,7.2,2252.99,2710.11,3112.81,2639.12,2609.91,597.26,206.86,1006.28,285,37.24,4036.22,4888.01,5743.78,5575.05,6351.82,1137.65,898.85,2066.66,1989.45,1126.31,799.84,553.85,1673.62,1456.01,796.23,52.54,60.8,59.46,61.12,67.13,6.76,23.63,5.71,19.56,170.58,5.39,4.94,4.49,8.14,6.38,1.89,1.06,0.71,3.75,4.31,6.84,6.66,5.97,10.73,7.69,22.63
"4",111896,110603,108944,102490,101082,79.63,80.78,92.27,85.88,90,48.36,50.82,50.81,50.34,50.45,4.37,4.58,8.7,0.89,-3.5,20.68,24.68,17.41,17.47,17.56,30.24,31.94,33.58,32.82,35.08,6.21,4.5,10.39,2.6,-1.78,120.09,90.71,88.7,82.66,34.53,7.92,8.62,12.53,9.89,6.08,100.69,106.8,110.32,77.43,67.33,100.9,107.68,112.59,56.45,58.17,99.11,92.86,88.82,177.14,171.91,11.14,8.13,15.21,4.59,-2.29,2667.35,3011.54,3366.2,3650.1,3748.13,240.76,271.14,576.3,64.46,-260.05,5385.23,5697.56,6242.55,6715.67,7537.28,1793.48,2235.51,1716.37,2272.55,1412.1,1387.47,1994.96,1435.69,858.55,953.03,77.75,77.68,86.94,79.53,91.3,22.37,21.01,10.83,104.19,-28.98,8.39,5.35,5.68,21.18,12.93,3.25,2.67,2.04,5.58,8.07,14.32,9.24,8.25,33.48,17.39,43.12
"5",349021,346739,341692,331898,328370,90.42,93.34,96.07,91.34,92.68,42.26,46.78,47,43.04,44.11,13.6,9.33,12.94,7.12,6.52,24.19,16.85,10.91,10.99,17.49,35.66,35.4,35.55,37.49,41.68,13.19,9.47,13.48,7.96,7.2,87.76,89.61,159.66,144.77,72.74,5.58,6.16,9.65,11.51,2.97,101.95,107.94,177.14,188.09,91.29,102.1,108.97,194.16,209.92,87.12,97.94,91.77,51.5,47.64,114.78,18.76,13.48,18.39,11.18,9.16,2597.82,2997.56,3362.2,3085.61,3268.87,835.98,597.89,925.31,510.38,483.37,3038.29,3243.93,3122.23,3016.7,2751.59,1865.3,1437.13,1649.24,1929.71,1981.99,1730.55,1283.11,1480.97,1725.95,1279.83,44.69,47.26,41.93,38.43,34.41,3.63,5.43,3.37,5.91,5.69,2.83,2.89,2.7,4.26,10.89,1.9,1.37,1.05,4.32,6.14,4.01,4.15,3.66,5.86,13.78,42.77
"6",94732,94076,92894,89832,89081,88.49,95.82,89.48,90.42,91.05,57.04,61.1,60.12,56.5,58.93,3.27,3.2,7.86,0.58,-1.97,11.82,8.74,13.72,19.17,15.27,39.87,40.05,40.91,40.32,43.33,10.13,3.44,10.59,1.56,-0.59,125.66,81.56,133.93,47.43,42.74,1.84,7.09,12.41,3.76,1.63,113.28,80.72,156.22,91.61,55.61,116.03,75.58,164.82,90.4,48.32,86.18,132.31,60.67,110.62,206.94,15.89,4.83,15.8,2.63,0.01,3475.13,4067.73,4432.82,4413.78,4776.52,199.36,213.19,579.43,45.41,-159.65,1568.33,2057.98,2242.16,2554.12,3245.7,1079.4,630.91,1944.91,1931.09,964.89,916.15,466.52,1779.83,1664.65,720.09,22.78,29.62,27.21,29.56,36.46,7.87,9.65,3.87,56.25,-20.33,3.1,2.83,2.41,4.74,5.25,3.2,1.58,1.51,5.6,6.86,4.85,4.26,3.73,6.96,6.94,30.76
"7",201798,201106,197812,196298,195263,92.38,87.34,92.08,90.58,88.89,47.75,51.47,50.18,45.62,46.78,7.91,8.27,14.76,7.36,5.64,21.16,20.11,15.4,17.03,18.35,36.54,37.95,38.7,39.06,43.07,9.27,11.4,16.17,9.53,8.31,65.38,98.6,150.62,93.43,85.59,4.92,7.46,7.7,7.24,7.91,68.42,97.45,143.44,107.48,99.45,62.75,96.85,160.52,109.67,99.32,159.35,103.25,62.3,91.18,100.68,13.31,17.96,23.73,13.46,12.01,2816.55,3216.34,3562.76,3148.51,3323.96,466.48,516.97,1048.27,508.14,400.96,5282.4,5546.44,5208.61,5692.57,5990.59,1176.9,1738.27,2201.72,1825.1,1843.57,915.01,1397.7,1768.44,1439.4,1496.13,82.72,77.51,67.55,74.71,74.94,11.32,10.73,4.97,11.2,14.94,5.95,6.16,6.56,8.32,8.35,2.24,1.81,1.39,4.37,5.35,8.5,9.73,9.44,11.66,11.09,45.15
"8",110287,109347,107745,102730,101450,96.98,95.54,95.89,94.23,94.92,49.61,51.99,50.3,48.01,47.53,8.74,6.1,9.11,-0.09,-1.56,13.73,10.78,13.96,12.67,16.19,43.09,43.25,43.73,43.96,47.57,9.12,6.11,9.62,0.51,-1.07,81.64,94.9,90.85,41.52,19.37,3.65,6.04,11.21,8.14,6.44,92.78,90.71,103.71,102.76,34.03,90.25,87.11,104.68,103.34,-21.45,110.81,114.8,95.53,96.77,-466.19,12.55,8.01,13.17,1.09,-0.83,3129.44,3535.16,3725.69,3613.59,3684.36,551.31,414.97,674.85,-6.81,-120.71,2339.35,2589.04,3159.53,3691.97,4832.72,1148.41,971.78,1428.69,1362.09,952.49,826.57,672,1143.53,1129.33,-326.15,35.97,36.38,40.9,46.22,59.18,4.24,6.24,4.68,-542.03,-40.03,6.27,5.17,4.34,5.62,19.47,3.67,2.64,1.58,5.86,6.43,8.48,7.34,5.94,7.68,23.91,26.67
"9",57264,57194,56760,54926,54581,91.17,88.1,93.37,93.4,93.13,63.44,66.65,65.68,62.79,64.72,11.37,9.12,11.75,6.37,5.47,14.84,15.86,12.09,20.42,11.18,43.42,42.49,42.71,43.79,48.9,11.4,8.64,12.15,6.18,5.69,136.26,132.15,155.44,55.92,107.87,12.41,13.75,16.2,9.33,12.67,175.28,179.84,209.55,125.6,163.42,188.1,191.13,243.04,126.13,173.71,53.16,52.32,41.15,79.29,57.57,17.76,13.5,18.57,9.19,7.96,3790.62,4330.27,4680.76,4623.15,4912.46,679.24,592.84,837.64,468.71,414.94,1056.42,900.36,642.97,901.62,1126.67,1893.29,2283.89,2365.71,2267.36,1715.82,1736.13,2126.53,2101.44,2230.95,1569.25,16.12,12.21,8.42,11.44,13.82,1.56,1.52,0.77,1.92,2.72,2.82,2.37,3.58,0.92,2.51,2.61,1.91,1.39,4.01,5.17,4.34,3.93,5.36,1.35,3.25,17.52
"10",62331,61588,60738,58357,57576,93.78,78.5,77.06,93.97,92.44,62.98,65.13,64.27,62.07,63.3,3.64,3.42,7.37,3.58,4.09,7.79,22.76,24.67,11.14,14.04,44.98,43.61,44.05,42.97,46.49,5.04,3.62,6.41,3.62,4.2,126.09,108.29,122.46,82.72,78.32,0.7,3.21,14.26,5.03,0.3,107.8,111.65,149.38,146.58,101.87,109.12,111.65,153.23,151.98,102.04,91.64,89.57,65.26,65.8,98,7.75,6.02,11.23,5.11,5.89,3656.18,4107.88,4470.92,4551.72,4904,211.31,215.51,512.87,262.54,317.08,2526.83,2606.03,2642.5,2578.95,2504.38,596.09,2003.61,3397.48,1449.86,1348.26,515.87,2003.61,3232.84,1347.04,1238.7,40.82,32.43,29.27,33.05,29.88,11.96,12.09,5.15,9.82,7.9,2.8,1.21,2.5,3.18,4.17,3.67,3.74,2.31,5.65,9.58,4.03,2.17,4.38,4.54,5.39,115.72
